what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.swt,0.9.0.r36x201102111147,"org.eclipse.wb.swt",1301295731205
os,sysinfo,,,"macosx",1301295731207
arch,sysinfo,,,"x86",1301295731207
ws,sysinfo,,,"cocoa",1301295731208
locale,sysinfo,,,"de_DE",1301295731208
processors,sysinfo,,,"2",1301295731208
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301295731208
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1301295731208
java.specification.name,sysinfo,,,"Java Platform API Specification",1301295731208
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301295731208
java.specification.version,sysinfo,,,"1.6",1301295731208
java.vendor,sysinfo,,,"Apple Inc.",1301295731208
java.version,sysinfo,,,"1.6.0_24",1301295731208
java.vm.info,sysinfo,,,"mixed mode",1301295731208
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1301295731208
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301295731208
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301295731208
java.vm.specification.version,sysinfo,,,"1.0",1301295731208
java.vm.vendor,sysinfo,,,"Apple Inc.",1301295731208
java.vm.version,sysinfo,,,"19.1-b02-334",1301295731208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301295909508
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1301295909525
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301295911602
started,bundle,org.eclipse.wb.xwt,0.9.0.r36x201102111225,"org.eclipse.wb.xwt",1301295911631
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301295911735
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1301295911749
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1301295913235
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301295916617
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1301295918217
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1301295918263
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301295918264
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301295919385
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301295919416
